,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
145,145,3500.25,2023-11-15 10:41:26.887154,2023-11-15 10:41:27.049602,0 days 00:00:00.162448,0.6,10,2.0,0.6,6,73,COMPLETE
146,146,18395.0,2023-11-15 10:41:27.050620,2023-11-15 10:41:27.130432,0 days 00:00:00.079812,0.5,20,1.25,0.30000000000000004,0,87,COMPLETE
147,147,12014.0,2023-11-15 10:41:27.131304,2023-11-15 10:41:27.245390,0 days 00:00:00.114086,0.5,20,1.0,0.30000000000000004,2,91,COMPLETE
148,148,2263.5,2023-11-15 10:41:27.246262,2023-11-15 10:41:27.426508,0 days 00:00:00.180246,0.5,10,1.75,0.30000000000000004,5,79,COMPLETE
149,149,17644.5,2023-11-15 10:41:27.427477,2023-11-15 10:41:27.510490,0 days 00:00:00.083013,0.7000000000000001,30,1.5,0.30000000000000004,0,87,COMPLETE
150,150,100.0,2023-11-15 10:41:27.511402,2023-11-15 10:41:27.786867,0 days 00:00:00.275465,0.6,20,2.0,0.30000000000000004,3,95,COMPLETE
151,151,18392.5,2023-11-15 10:41:27.787759,2023-11-15 10:41:27.867428,0 days 00:00:00.079669,0.30000000000000004,20,1.25,0.4,0,84,COMPLETE
152,152,18392.5,2023-11-15 10:41:27.868499,2023-11-15 10:41:27.952632,0 days 00:00:00.084133,0.30000000000000004,20,1.25,0.4,0,84,COMPLETE
153,153,5818.5,2023-11-15 10:41:27.953469,2023-11-15 10:41:28.101546,0 days 00:00:00.148077,0.30000000000000004,20,1.25,0.4,2,81,COMPLETE
154,154,18297.0,2023-11-15 10:41:28.102438,2023-11-15 10:41:28.185271,0 days 00:00:00.082833,0.30000000000000004,20,1.25,0.4,0,76,COMPLETE
155,155,6332.25,2023-11-15 10:41:28.186257,2023-11-15 10:41:28.341664,0 days 00:00:00.155407,0.30000000000000004,10,1.25,0.4,8,84,COMPLETE
156,156,8264.75,2023-11-15 10:41:28.343042,2023-11-15 10:41:28.481180,0 days 00:00:00.138138,0.2,20,1.25,0.5,4,90,COMPLETE
157,157,19260.75,2023-11-15 10:41:28.482061,2023-11-15 10:41:28.560833,0 days 00:00:00.078772,0.30000000000000004,10,1.25,0.4,0,71,COMPLETE
158,158,10752.5,2023-11-15 10:41:28.561904,2023-11-15 10:41:28.671575,0 days 00:00:00.109671,0.30000000000000004,10,1.25,0.4,6,71,COMPLETE
159,159,4636.25,2023-11-15 10:41:28.672589,2023-11-15 10:41:28.822589,0 days 00:00:00.150000,0.30000000000000004,10,1.25,0.4,3,67,COMPLETE
160,160,9978.0,2023-11-15 10:41:28.823500,2023-11-15 10:41:28.942419,0 days 00:00:00.118919,0.30000000000000004,10,1.25,0.4,2,74,COMPLETE
161,161,19260.75,2023-11-15 10:41:28.943820,2023-11-15 10:41:29.018801,0 days 00:00:00.074981,0.30000000000000004,10,1.25,0.4,0,77,COMPLETE
162,162,19260.75,2023-11-15 10:41:29.019703,2023-11-15 10:41:29.091667,0 days 00:00:00.071964,0.30000000000000004,10,1.25,0.4,0,77,COMPLETE
163,163,4806.75,2023-11-15 10:41:29.093156,2023-11-15 10:41:29.261415,0 days 00:00:00.168259,0.30000000000000004,10,1.25,0.4,4,78,COMPLETE
164,164,19260.75,2023-11-15 10:41:29.262685,2023-11-15 10:41:29.355587,0 days 00:00:00.092902,0.2,10,1.25,0.4,0,76,COMPLETE
165,165,6129.75,2023-11-15 10:41:29.356575,2023-11-15 10:41:29.503390,0 days 00:00:00.146815,0.2,10,1.25,0.4,2,59,COMPLETE
166,166,3008.75,2023-11-15 10:41:29.504362,2023-11-15 10:41:29.803952,0 days 00:00:00.299590,0.2,10,1.25,0.4,5,132,COMPLETE
