,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
104,104,18301.0,2023-11-15 13:17:27.796015,2023-11-15 13:17:27.880457,0 days 00:00:00.084442,0.9,10,0.75,0.9,60,96,COMPLETE
105,105,18032.5,2023-11-15 13:17:27.881284,2023-11-15 13:17:27.967078,0 days 00:00:00.085794,0.9,10,0.5,0.9,59,97,COMPLETE
106,106,17759.75,2023-11-15 13:17:27.967966,2023-11-15 13:17:28.054453,0 days 00:00:00.086487,0.9,20,0.75,0.9,35,100,COMPLETE
107,107,13296.0,2023-11-15 13:17:28.055564,2023-11-15 13:17:28.142439,0 days 00:00:00.086875,0.8,10,1.0,0.9,59,25,COMPLETE
108,108,18301.0,2023-11-15 13:17:28.143456,2023-11-15 13:17:28.225858,0 days 00:00:00.082402,0.9,10,0.75,0.9,45,96,COMPLETE
109,109,18023.75,2023-11-15 13:17:28.226908,2023-11-15 13:17:28.312563,0 days 00:00:00.085655,0.9,10,0.5,0.8,54,92,COMPLETE
110,110,16603.75,2023-11-15 13:17:28.313881,2023-11-15 13:17:28.412703,0 days 00:00:00.098822,0.9,20,0.75,0.1,44,95,COMPLETE
111,111,17936.25,2023-11-15 13:17:28.413632,2023-11-15 13:17:28.537399,0 days 00:00:00.123767,0.9,10,0.75,0.9,48,98,COMPLETE
112,112,18305.0,2023-11-15 13:17:28.538383,2023-11-15 13:17:28.624797,0 days 00:00:00.086414,0.9,10,1.0,0.9,52,96,COMPLETE
113,113,18305.0,2023-11-15 13:17:28.625932,2023-11-15 13:17:28.706633,0 days 00:00:00.080701,0.9,10,1.0,0.9,52,96,COMPLETE
114,114,17930.75,2023-11-15 13:17:28.707748,2023-11-15 13:17:28.797963,0 days 00:00:00.090215,0.9,10,1.0,0.9,52,91,COMPLETE
115,115,16435.5,2023-11-15 13:17:28.798876,2023-11-15 13:17:28.893335,0 days 00:00:00.094459,0.9,10,0.75,0.9,45,62,COMPLETE
116,116,18380.75,2023-11-15 13:17:28.894259,2023-11-15 13:17:28.976659,0 days 00:00:00.082400,0.8,10,1.0,0.9,65,94,COMPLETE
117,117,17026.25,2023-11-15 13:17:28.977805,2023-11-15 13:17:29.068577,0 days 00:00:00.090772,0.8,20,1.0,0.8,26,95,COMPLETE
118,118,17939.0,2023-11-15 13:17:29.069688,2023-11-15 13:17:29.157584,0 days 00:00:00.087896,0.8,10,0.75,0.9,66,87,COMPLETE
119,119,14298.25,2023-11-15 13:17:29.158876,2023-11-15 13:17:29.261312,0 days 00:00:00.102436,0.9,70,1.0,0.9,60,92,COMPLETE
120,120,17982.0,2023-11-15 13:17:29.262178,2023-11-15 13:17:29.355972,0 days 00:00:00.093794,0.9,10,0.5,0.8,56,90,COMPLETE
121,121,18305.0,2023-11-15 13:17:29.357564,2023-11-15 13:17:29.444838,0 days 00:00:00.087274,0.9,10,1.0,0.9,64,96,COMPLETE
122,122,18118.0,2023-11-15 13:17:29.445714,2023-11-15 13:17:29.530677,0 days 00:00:00.084963,0.9,10,1.0,0.9,64,94,COMPLETE
123,123,18301.0,2023-11-15 13:17:29.531621,2023-11-15 13:17:29.620021,0 days 00:00:00.088400,0.9,10,0.75,0.9,69,96,COMPLETE
124,124,18209.5,2023-11-15 13:17:29.620911,2023-11-15 13:17:29.707064,0 days 00:00:00.086153,0.9,10,0.75,0.9,67,96,COMPLETE
125,125,18064.75,2023-11-15 13:17:29.708340,2023-11-15 13:17:29.798382,0 days 00:00:00.090042,0.9,10,0.5,0.9,70,93,COMPLETE
126,126,18312.25,2023-11-15 13:17:29.799434,2023-11-15 13:17:29.890230,0 days 00:00:00.090796,0.8,10,0.75,0.9,61,100,COMPLETE
127,127,18154.25,2023-11-15 13:17:29.891499,2023-11-15 13:17:29.978439,0 days 00:00:00.086940,0.7000000000000001,10,0.75,0.9,61,100,COMPLETE
128,128,17975.75,2023-11-15 13:17:29.979278,2023-11-15 13:17:30.065555,0 days 00:00:00.086277,0.8,20,0.75,0.9,58,96,COMPLETE
129,129,14712.5,2023-11-15 13:17:30.066582,2023-11-15 13:17:30.182395,0 days 00:00:00.115813,0.8,60,0.25,0.9,54,100,COMPLETE
130,130,18037.0,2023-11-15 13:17:30.183651,2023-11-15 13:17:30.274360,0 days 00:00:00.090709,0.9,10,0.75,0.8,64,90,COMPLETE
131,131,16190.25,2023-11-15 13:17:30.275240,2023-11-15 13:17:30.355597,0 days 00:00:00.080357,0.9,10,1.0,0.9,68,36,COMPLETE
132,132,18041.0,2023-11-15 13:17:30.356675,2023-11-15 13:17:30.448933,0 days 00:00:00.092258,0.9,10,0.5,0.9,75,94,COMPLETE
133,133,18240.25,2023-11-15 13:17:30.450459,2023-11-15 13:17:30.538666,0 days 00:00:00.088207,0.9,10,0.75,0.9,61,96,COMPLETE
134,134,18328.0,2023-11-15 13:17:30.539685,2023-11-15 13:17:30.623889,0 days 00:00:00.084204,0.9,10,1.0,0.9,31,92,COMPLETE
135,135,18309.5,2023-11-15 13:17:30.625150,2023-11-15 13:17:30.709922,0 days 00:00:00.084772,0.8,10,1.0,0.9,36,92,COMPLETE
136,136,17961.5,2023-11-15 13:17:30.711175,2023-11-15 13:17:30.801510,0 days 00:00:00.090335,0.8,10,1.0,0.9,33,87,COMPLETE
137,137,17561.75,2023-11-15 13:17:30.802386,2023-11-15 13:17:30.893133,0 days 00:00:00.090747,0.7000000000000001,20,1.0,0.9,36,98,COMPLETE
138,138,17748.25,2023-11-15 13:17:30.894057,2023-11-15 13:17:30.983582,0 days 00:00:00.089525,0.7000000000000001,10,1.0,0.8,51,91,COMPLETE
139,139,18086.0,2023-11-15 13:17:30.984471,2023-11-15 13:17:31.070867,0 days 00:00:00.086396,0.8,10,1.0,0.9,55,89,COMPLETE
140,140,17869.0,2023-11-15 13:17:31.072118,2023-11-15 13:17:31.163541,0 days 00:00:00.091423,0.8,20,0.75,0.8,38,96,COMPLETE
141,141,18207.0,2023-11-15 13:17:31.164676,2023-11-15 13:17:31.251531,0 days 00:00:00.086855,0.9,10,1.0,0.9,29,93,COMPLETE
142,142,18210.75,2023-11-15 13:17:31.252360,2023-11-15 13:17:31.335633,0 days 00:00:00.083273,0.9,10,0.75,0.9,31,92,COMPLETE
143,143,18492.0,2023-11-15 13:17:31.336873,2023-11-15 13:17:31.422080,0 days 00:00:00.085207,0.9,10,1.0,0.9,32,99,COMPLETE
144,144,18492.0,2023-11-15 13:17:31.423104,2023-11-15 13:17:31.510038,0 days 00:00:00.086934,0.9,10,1.0,0.9,26,99,COMPLETE
145,145,18331.5,2023-11-15 13:17:31.511124,2023-11-15 13:17:31.599258,0 days 00:00:00.088134,0.8,10,1.0,0.9,27,99,COMPLETE
146,146,18428.75,2023-11-15 13:17:31.600160,2023-11-15 13:17:31.688152,0 days 00:00:00.087992,0.8,10,1.0,0.9,24,100,COMPLETE
147,147,18331.5,2023-11-15 13:17:31.688986,2023-11-15 13:17:31.775863,0 days 00:00:00.086877,0.8,10,1.0,0.9,21,99,COMPLETE
148,148,18612.5,2023-11-15 13:17:31.776735,2023-11-15 13:17:31.867998,0 days 00:00:00.091263,0.8,10,1.0,0.9,23,100,COMPLETE
149,149,17924.25,2023-11-15 13:17:31.869289,2023-11-15 13:17:31.962078,0 days 00:00:00.092789,0.8,20,1.0,0.9,23,100,COMPLETE
150,150,18428.75,2023-11-15 13:17:31.963281,2023-11-15 13:17:32.059243,0 days 00:00:00.095962,0.8,10,1.0,0.9,19,100,COMPLETE
151,151,18331.5,2023-11-15 13:17:32.060463,2023-11-15 13:17:32.174059,0 days 00:00:00.113596,0.8,10,1.0,0.9,17,99,COMPLETE
152,152,18331.5,2023-11-15 13:17:32.175223,2023-11-15 13:17:32.292811,0 days 00:00:00.117588,0.8,10,1.0,0.9,23,99,COMPLETE
153,153,17301.0,2023-11-15 13:17:32.293917,2023-11-15 13:17:32.406555,0 days 00:00:00.112638,0.7000000000000001,10,1.0,0.2,18,99,COMPLETE
154,154,18306.25,2023-11-15 13:17:32.407815,2023-11-15 13:17:32.520007,0 days 00:00:00.112192,0.8,10,1.25,0.9,26,100,COMPLETE
155,155,18115.75,2023-11-15 13:17:32.521279,2023-11-15 13:17:32.640632,0 days 00:00:00.119353,0.8,10,1.0,0.9,21,98,COMPLETE
156,156,18331.5,2023-11-15 13:17:32.642140,2023-11-15 13:17:32.745689,0 days 00:00:00.103549,0.8,10,1.0,0.9,17,99,COMPLETE
157,157,18071.5,2023-11-15 13:17:32.746938,2023-11-15 13:17:32.844894,0 days 00:00:00.097956,0.8,10,1.0,0.9,17,98,COMPLETE
158,158,18211.75,2023-11-15 13:17:32.846247,2023-11-15 13:17:32.953470,0 days 00:00:00.107223,0.7000000000000001,10,1.0,0.9,20,99,COMPLETE
159,159,18071.5,2023-11-15 13:17:32.954650,2023-11-15 13:17:33.067384,0 days 00:00:00.112734,0.8,10,1.0,0.9,23,98,COMPLETE
160,160,18013.5,2023-11-15 13:17:33.068517,2023-11-15 13:17:33.179331,0 days 00:00:00.110814,0.8,20,1.25,0.9,15,100,COMPLETE
161,161,18428.75,2023-11-15 13:17:33.182175,2023-11-15 13:17:33.286232,0 days 00:00:00.104057,0.8,10,1.0,0.9,24,100,COMPLETE
162,162,18071.5,2023-11-15 13:17:33.287189,2023-11-15 13:17:33.396756,0 days 00:00:00.109567,0.8,10,1.0,0.9,11,98,COMPLETE
163,163,18428.75,2023-11-15 13:17:33.398217,2023-11-15 13:17:33.516522,0 days 00:00:00.118305,0.8,10,1.0,0.9,27,100,COMPLETE
164,164,18428.75,2023-11-15 13:17:33.517864,2023-11-15 13:17:33.611395,0 days 00:00:00.093531,0.8,10,1.0,0.9,24,100,COMPLETE
