,value,max_episodes,gamma,alpha,initialization,decay_rate,decay_interval
491,100.0,336,0.5,0.6,75,2.25,71
492,100.0,880,0.4,0.4,53,2.5,51
493,0.0,763,0.2,0.9,23,3.0,91
494,100.0,210,0.7000000000000001,0.9,10,2.75,81
495,100.0,803,0.1,0.8,33,1.25,71
496,100.0,748,0.6,0.2,71,1.5,1
497,100.0,576,0.2,0.6,7,2.25,61
498,100.0,295,0.4,0.1,80,0.75,61
499,100.0,669,0.30000000000000004,0.7000000000000001,47,1.75,31
500,100.0,649,0.5,0.9,27,2.5,71
501,100.0,912,0.30000000000000004,0.5,14,3.0,51
502,100.0,960,0.5,0.4,37,1.0,61
503,100.0,779,0.9,0.8,21,1.75,81
504,100.0,702,0.6,0.30000000000000004,17,2.5,71
505,100.0,845,0.4,0.2,11,2.0,41
506,100.0,349,0.30000000000000004,0.9,95,2.75,91
507,-100.0,167,0.5,0.1,69,2.25,51
508,100.0,737,0.2,0.6,77,3.0,31
509,100.0,604,0.7000000000000001,0.7000000000000001,59,1.25,11
510,100.0,549,0.8,0.9,35,2.75,61
511,100.0,440,0.5,0.8,5,2.0,81
512,100.0,626,0.4,0.4,29,1.75,71
513,100.0,816,0.1,0.9,74,1.5,71
514,100.0,570,0.6,0.30000000000000004,44,3.0,51
515,100.0,681,0.7000000000000001,0.2,26,3.0,71
516,100.0,946,0.4,0.7000000000000001,55,2.5,91
517,100.0,721,0.30000000000000004,0.8,19,2.75,61
518,100.0,232,0.5,0.5,65,2.25,81
519,100.0,504,0.2,0.6,50,1.75,41
520,100.0,247,0.9,0.1,12,1.0,21
521,100.0,887,0.1,0.8,2,1.5,61
522,100.0,471,0.6,0.9,46,2.0,71
523,0.0,793,0.30000000000000004,0.2,9,0.5,41
524,100.0,191,0.4,0.9,87,1.0,51
